datasetid,datasetgroup,datasetname,description,cellline,smallmolecule,technologies
LDS-1202,LDG-1198,L1000 Dataset -small molecule perturbagens- LINCS Trans-Center Project,"Transcriptional profiles of cultured human breast and prostate cancer cell lines treated with small molecules: 6 cancer cell lines are treated with 6 small molecules, as a part of the LINCS Trans-Center Project. The expression level for 978 representative genes is measured.",[u'MCF7'],"[u'Pictilisib', u'Pictilisib', u'Pictilisib', u'MK-2206', u'MK-2206', u'WYE 125132', u'WYE 125132', u'TORIN1', u'TORIN1', u'Linifanib', u'Linifanib', u'Sudahwboroxane-uhfffaoysa-n']",L1000
LDS-1186,LDG-1183,PCI-32765 KiNativ -- single dose experiment,-,"[u'Ramos (RA 1)', u'Ramos (RA 1)']",[u'PCI-32765'],KiNativ
LDS-1187,LDG-1184,BX795 KiNativ -- single dose experiment,-,[u'NGP'],[u'BX-795'],KiNativ
LDS-1189,LDG-1186,DCC-2036 KiNativ -- single dose experiment,-,[u'Ramos (RA 1)'],[u'Rebastinib'],KiNativ
LDS-1185,LDG-1182,QL-X-138 KiNativ -- single dose experiment,-,[u'BCWM.1'],[u'SCHEMBL17052537'],KiNativ
LDS-1190,LDG-1187,5z-7-oxozeaenol KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of 5z-7-oxozeaenol at 10 uM of concentration.",,[u'5z-7-oxozeaenol'],KINOMEscan
LDS-1188,LDG-1185,OTSSP167 KiNativ -- single dose experiment,-,[u'MDA-MB-468'],[u'OTSSP167'],KiNativ
LDS-1206,LDG-1200,Sensitivity measures of MDA-MB-231 and HME-1 cell lines to LINCS Pilot Phase TransCenter Project kinase inhibitors,-,[u'HME1'],"[u'Pictilisib', u'MK-2206', u'WYE 125132', u'TORIN1', u'PD-0325901']",Fluorescence imaging
LDS-1207,LDG-1201,Metrics for growth responses of MDA-MB-231 and HME-1 cell lines to LINCS Pilot Phase TransCenter Project kinase inhibitors,-,[u'HME1'],"[u'Pictilisib', u'MK-2206', u'WYE 125132', u'TORIN1', u'PD-0325901']",Fluorescence imaging
LDS-1209,LDG-1203,Phosphorylation state and protein levels measured in BRAF(V600E/D) melanoma cell lines monitored by Reverse Phase Protein Arrays (RPPA),-,"[u'C32', u'COLO 858', u'RVH-421', u'WM-115', u'WM1552C', u'LOXIMVI', u'MMAC-SF', u'MZ7-mel', u'K2', u'SKMEL28']","[u'PLX-4720', u'AZ628', u'Selumetinib', u'Vemurafenib', u'SB590885']",RPPA
LDS-1208,LDG-1202,Viability and apoptosis in BRAF(V600E/D) melanoma cell lines monitored by imaging,-,"[u'C32', u'COLO 858', u'RVH-421', u'WM-115', u'WM1552C', u'LOXIMVI', u'MMAC-SF', u'MZ7-mel', u'K2', u'SKMEL28']","[u'PLX-4720', u'AZ628', u'Selumetinib', u'Vemurafenib', u'SB590885']",Fluorescence imaging
LDS-1210,LDG-1204,Phosphorylation state and protein levels measured in BRAF(V600E/D) melanoma cell lines monitored by imaging,-,"[u'COLO 858', u'WM-115', u'WM1552C', u'LOXIMVI']","[u'Vemurafenib', u'JNK-IN-8']",Fluorescence imaging
LDS-1220,LDG-1214,PLSR model loadings (pMEK and pERK excluded) from analysis of the covariation of molecular signals with cell viability and apoptosis fraction in BRAF(V600E/D) melanoma cell lines,-,"[u'C32', u'COLO 858', u'RVH-421', u'WM-115', u'WM1552C', u'LOXIMVI', u'MMAC-SF', u'MZ7-mel', u'K2', u'SKMEL28']",,Fluorescence imaging
LDS-1211,LDG-1205,ZSTK474 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of ZSTK474 at 10 uM of concentration.",,[u'ZSTK 474'],KINOMEscan
LDS-1213,LDG-1207,Ibrutinib KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of Ibrutinib at 10 uM of concentration.",,[u'PCI-32765'],KINOMEscan
LDS-1215,LDG-1209,BGJ398 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of BGJ398 at 10 uM of concentration.",,[u'Infigratinib'],KINOMEscan
LDS-1216,LDG-1210,CGP082996 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of CGP082996 at 10 uM of concentration.",,[u'KIN001-021'],KINOMEscan
LDS-1217,LDG-1211,Baricitinib KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of Baricitinib at 10 uM of concentration.",,[u'Baricitinib'],KINOMEscan
LDS-1219,LDG-1213,PLSR model loadings (pMEK and pERK included) from analysis of the covariation of molecular signals with cell viability and apoptosis fraction in BRAF(V600E/D) melanoma cell lines,-,"[u'C32', u'COLO 858', u'RVH-421', u'WM-115', u'WM1552C', u'LOXIMVI', u'MMAC-SF', u'MZ7-mel', u'K2', u'SKMEL28']",,Fluorescence imaging
LDS-1212,LDG-1206,MPS-1-IN-1 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of MPS-1-IN-1 at 10 uM of concentration.",,[u'MPS-1-IN-1'],KINOMEscan
LDS-1214,LDG-1208,TGX221 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of TGX221 at 10 uM of concentration.",,[u'TGX 221'],KINOMEscan
LDS-1221,LDG-1215,Average variable importance in the projection (VIP) scores from the PLSR models analyzing the covariation of molecular signals with cell viability and apoptosis fraction in BRAF(V600E/D) melanoma cell lines,-,"[u'C32', u'COLO 858', u'RVH-421', u'WM-115', u'WM1552C', u'LOXIMVI', u'MMAC-SF', u'MZ7-mel', u'K2', u'SKMEL28']",,Fluorescence imaging
LDS-1218,LDG-1212,MRT67307 KINOMEscan,"For the panel of kinases, the percent of kinase bound by ligand is measured in the presence of MRT67307 at 10 uM of concentration.",,[u'MRT67307'],KINOMEscan
LDS-1237,LDG-1231,Transcriptomics dataset (June 2015),"Transcriptional profiles of three PromoCell cardiomyocytes treated with known toxic compounds alone and in combination with ""mitigating"" compounds.",,"[u'Sorafenib', u'Imatinib', u'Flecainide', u'Diclofenac', u'Paroxetine', u'Domperidone', u'Loperamide', u'Milrinone', u'Diethylpropion', u'Entecavir', u'Alendronic acid', u'ZINC150345845', u'Ursodiol', u'Sunitinib']",RNA-seq
LDS-1233,LDG-1227,L1000 Dataset -small molecule perturbagens- LINCS Phase 2 (June 2015),Transcriptional profiles of multiple cells treated with small molecule perturbagens: The expression level is measured for 978 representative genes in 15 cell lines treated with 241 small molecules.,"[u'MCF7', u'A549', u'HME1', u'HCC515', u'HA1E']","[u'Seliciclib', u'SCHEMBL15556278', u'CHEMBL552425', u'AT-7519', u'Tivozanib', u'SCHEMBL1564574', u'AZD-8055', u'Sorafenib', u'CP466722', u'Alvocidib', u'GSK429286A', u'GSK-461364', u'GW843682X', u'Dasatinib', u'Tozasertib', u'HY-11007', u'Imatinib', u'TAE-684', u'CGP 60474', u'PD-173074', u'Crizotinib', u'BMS-345541', u'GSK-3 INHIBITOR II', u'Saracatinib', u'Saracatinib', u'WHI-P97', u'AS601245', u'Akt inhibitor viii', u'SB239063', u'Quizartinib', u'Tamatinib', u'BI-2536', u'BI-2536', u'Motesanib', u'Itk inhibitor', u'CHEMBL2132289', u'A-443654', u'Pictilisib', u'CI-1040', u'PLX-4720', u'AZ628', u'Lapatinib', u'ZSTK 474', u'BX 912', u'Selumetinib', u'MK-2206', u'CHEMBL1950303', u'AZD-6482', u'TAK-715', u'NU-7441', u'GSK-1070916', u'WYE 125132', u'Aurora a inhibitor i', u'MLN-8054', u'AZD-1152-HQPA', u'Vemurafenib', u'Enzastaurin', u'SCHEMBL618594', u'Palbociclib', u'PF-562271', u'PHA-793887', u'KU-55933', u'TORIN1', u'TORIN-2', u'PDK1 INHIBITOR', u'WZ 4002', u'LRRK2-IN-1', u'SCHEMBL16980224', u'CHEMBL1673039', u'XMD 8-92', u'331771-20-1', u'Erlotinib', u'Gefitinib', u'Nilotinib', u'PD-0325901', u'YM 201636', u'TWS 119', u'PF477736', u'N-(3-fluoro-4-((7-methoxyquinolin-4-yl)oxy)phenyl)-1-(2-hydroxy-2-methylpropyl)-5-methyl-3-oxo-2-phenyl-2,3-dihydro-1h-pyrazole-4-carboxamide', u'Pazopanib', u'LDN 193189', u'PF431396', u'Amuvatinib', u'Canertinib', u'SB525334', u'CHEMBL1083527', u'SGX-523', u'MGCD-265', u'PI-103', u'Dovitinib', u'C21H27N7O3', u'PCI-32765', u'Masitinib', u'Tivantinib', u'BMS-387032', u'GSK-1904529A', u'Linsitinib', u'TPCA-1', u'BMS509744', u'Ruxolitinib', u'AZD 1480', u'Momelotinib', u'Fedratinib', u'Trametinib', u'BMS-777607', u'Olaparib', u'Olaparib', u'Veliparib', u'Veliparib', u'EX-8678', u'Buparlisib', u'SCHEMBL570779', u'Y-39983', u'Ponatinib', u'AZD-1775', u'Cot inhibitor-2', u'AT 7867', u'C30H33N3O5S', u'JNJ-38877605', u'Foretinib', u'AZD-5438', u'SB-216763', u'Nvp-auy922', u'Pyrazolanthrone', u'AZD-8330', u'PF-04217903', u'BAY 61-3606', u'SB-203580', u'VX-745', u'Doramapimod', u'ZINC77024257', u'TGX 221', u'SAR245409', u'A 769662', u'Cyclohexanecarboxamide, 4-(1-aminoethyl)-n-4-pyridinyl-, trans-', u'C19H19FN4O3', u'OSI-930', u'ABT737', u'CHIR-99021', u'Linifanib', u'Infigratinib', u'CC-401', u'Chelerythrine', u'Ki20227', u'BX-795', u'Bosutinib', u'PIK-93', u'Kin236', u'Cabozantinib', u'KIN001-269', u'KIN001-270', u'KIN001-260', u'Vandetanib', u'PF 573228', u'NVP-BHG712', u'Alectinib', u'301836-43-1', u'A66', u'Idelalisib', u'MLN-0128', u'CHIR-265', u'NVP-TAE226', u'GW620972X', u'GSK-2334470', u'Tyrphostin ag-1478', u'Allitinib', u'Regorafenib', u'CGK733', u'NU-7026', u'Mitoxantrone', u'Vorinostat', u'Vorinostat', u'PF-03758309', u'Dactolisib', u'Alpelisib', u'GDC-0980', u'BIX01294', u'Entinostat', u'Rucaparib', u'BRD-A24396574-001-01-5', u'Azacitidine', u'SCHEMBL3958507', u'Mocetinostat', u'CHEMBL3188661', u'SCHEMBL17857056', u'MLS002232309', u'Tranylcypromine', u'Epigalocatechin gallate', u'SCHEMBL6874948', u'SCHEMBL17378613', u'SCHEMBL17052537', u'Decitabine', u'WZ3105', u'SCHEMBL3954849', u'QL47', u'848193-68-0', u'RG 108', u'NCGC00346967-01', u'Dabrafenib', u'PHA-767491', u'BS-181', u'Dinaciclib', u'SGI-1776', u'AZD4547', u'Iniparib', u'JW55', u'Anacardic acid', u'CTB', u'Ricolinostat', u'UNC0638', u'GSK-J4', u'Daminozide', u'PFI-1', u'JQ1-S', u'(-)-JQ1', u'GSK525762A', u'GSK1210151A', u'Ischemin', u'UNC669', u'UNC1215', u'IOX2', u'OTSSP167', u'Ipatasertib', u'CX-5461', u'HG-9-91-01', u'Osimertinib', u'HG-14-10-04', u'Withaferin a', u'Rebastinib', u'BGT-226', u'AZ 20', u'VE-821', u'Rabusertib', u'CHEMBL585951', u'BRD-A01645196', u'SB590885', u'AZD-7762', u'CP-724714', u'Neratinib', u'GW-5074', u'GSK-3 INHIBITOR IX', u'WY-090217', u'WY-090217', u'AS-605240', u'BRD-K94012289', u'FR-180204', u'SU 11274', u'PHA-665752', u'C24H25CLFN5O3', u'Nintedanib', u'Pelitinib', u'BIX 02189', u'GSK-1059615', u'GSK 1059615', u'Sunitinib', u'MLS006011051', u'HMN-214', u'KW-2449', u'Dacomitinib', u'13-HYDROXY-8,14,19-TRIMETHOXY-4,10,12,16-TETRAMETHYL-3,20,22-TRIOXO-2-AZABICYCLO[16.3.1]DOCOSA-1(21),4,6,10,18-PENTAEN-9-YL CARBAMATE', u'Resveratrol', u'BRD-A25736793', u'SCHEMBL16226502', u'Belinostat', u'AGK 2', u'HG6-64-1', u'STK219801', u'SCHEMBL16065773', u'Pracinostat', u'MC1568', u'methylstat', u'Radicicol', u'Rigosertib', u'WH-4-025', u'GSK-J1', u'GSK-J2', u'THZ-2-98-01']",L1000
LDS-1240,LDG-1234,MEMA PC3 cell line dataset,Cell cycle and nuclear state imaging readouts for PC3 cells treated with ligand and ECMp combinations to explore the role of microenvironmental signals in cancer growth.,,,MEMA (fluorescence imaging)
LDS-1222,LDG-1216,Live-cell imaging of cell-to-cell variability in caspase-8 FRET reporter activity and cell fate trajectory modeling,-,"[u'HeLa ICRP', u'HeLa ICRP Bcl-2-mCherry', u'HeLa ICRP Bcl-XL-mCherry', u'HeLa ICRP FLIP-L-mCherry', u'HeLa ICRP FLIP-S-mCherry']","[u'179324-69-7', u'ABT-263']",Fluorescence imaging
LDS-1239,LDG-1233,Transcriptomics dataset (August 2015),"Transcriptional profiles of four PromoCell cardiomyocytes treated with known toxic compounds alone and in combination with ""mitigating"" compounds.",,"[u'Sorafenib', u'Dasatinib', u'Imatinib', u'Lapatinib', u'Erlotinib', u'Pazopanib', u'Ruxolitinib', u'Bosutinib', u'Vandetanib', u'Tofacitinib', u'Flecainide', u'Domperidone', u'Loperamide', u'Milrinone', u'Diethylpropion', u'Entecavir', u'Cytarabine', u'Methotrexate', u'ZINC150345845', u'Ursodiol', u'Prednisolone', u'Sunitinib', u'Cyclosporine', u'Afatinib', u'Cefuroxime']",RNA-seq
LDS-1229,LDG-1223,LINCS Pilot Phase Joint Project: Sensitivity measures of six breast cancer cell lines to a library of small molecule kinase inhibitors (single drug treatments). Dataset 4 of 15: Mean cell count and mean growth rate across biological replicate 1.,-,[u'MCF7'],"[u'Seliciclib', u'AT-7519', u'SCHEMBL1564574', u'AZD-8055', u'Sorafenib', u'CP466722', u'Alvocidib', u'GW843682X', u'Dasatinib', u'Tozasertib', u'Imatinib', u'TAE-684', u'CGP 60474', u'PD-173074', u'Crizotinib', u'BMS-345541', u'Saracatinib', u'Akt inhibitor viii', u'Tamatinib', u'BI-2536', u'A-443654', u'Pictilisib', u'CI-1040', u'PLX-4720', u'Lapatinib', u'Rapamycin', u'ZSTK 474', u'BX 912', u'Selumetinib', u'MK-2206', u'AZD-6482', u'NU-7441', u'OSI-027', u'WYE 125132', u'AZD-1152-HQPA', u'Vemurafenib', u'Enzastaurin', u'Palbociclib', u'PF-562271', u'PHA-793887', u'TORIN1', u'TORIN-2', u'LRRK2-IN-1', u'Erlotinib', u'Gefitinib', u'Nilotinib', u'PD-0325901', u'YM 201636', u'TWS 119', u'PF477736', u'LDN 193189', u'PF431396', u'Celastrol', u'Canertinib', u'PI-103', u'Dovitinib', u'C21H27N7O3', u'BMS-387032', u'GSK-1904529A', u'Linsitinib', u'Ruxolitinib', u'Momelotinib', u'Fedratinib', u'Trametinib', u'EX-8678', u'Buparlisib', u'SCHEMBL570779', u'Y-39983', u'Nintedanib', u'Foretinib', u'AZD-5438', u'Pelitinib', u'Nvp-auy922', u'AZD-8330', u'TGX 221', u'GSK1059615', u'C19H19FN4O3', u'CHIR-99021', u'Linifanib', u'PIK-93', u'Mitoxantrone', u'Dactolisib', u'Alpelisib', u'GDC-0980', u'SCHEMBL3958507', u'SCHEMBL17857056', u'MLS002232309', u'SCHEMBL6874948', u'SCHEMBL17052537', u'WZ3105', u'SCHEMBL3954849', u'QL47', u'Withaferin a', u'CHEMBL585951', u'SB590885', u'CP-724714', u'Neratinib', u'GSK-3 INHIBITOR IX', u'Geldanamycin', u'C28H30CIN5O4S', u'PHA-665752', u'Afatinib', u'HG6-64-1', u'SCHEMBL16065773', u'Monorden', u'WH-4-025', u'NVP-AEW541']",Fluorescence imaging
LDS-1228,LDG-1222,LINCS Pilot Phase Joint Project: Sensitivity measures of six breast cancer cell lines to a library of small molecule kinase inhibitors (single drug treatments). Dataset 3 of 15: Cell count and relative growth within biological replicate 3.,-,[u'MCF7'],"[u'Seliciclib', u'AT-7519', u'SCHEMBL1564574', u'AZD-8055', u'Sorafenib', u'CP466722', u'Alvocidib', u'GW843682X', u'Dasatinib', u'Tozasertib', u'Imatinib', u'TAE-684', u'CGP 60474', u'PD-173074', u'Crizotinib', u'BMS-345541', u'Saracatinib', u'Akt inhibitor viii', u'Tamatinib', u'BI-2536', u'A-443654', u'Pictilisib', u'CI-1040', u'PLX-4720', u'Lapatinib', u'Rapamycin', u'ZSTK 474', u'BX 912', u'Selumetinib', u'MK-2206', u'AZD-6482', u'NU-7441', u'OSI-027', u'WYE 125132', u'AZD-1152-HQPA', u'Vemurafenib', u'Enzastaurin', u'Palbociclib', u'PF-562271', u'PHA-793887', u'TORIN1', u'TORIN-2', u'LRRK2-IN-1', u'Erlotinib', u'Gefitinib', u'Nilotinib', u'PD-0325901', u'YM 201636', u'TWS 119', u'PF477736', u'LDN 193189', u'PF431396', u'Celastrol', u'Canertinib', u'PI-103', u'Dovitinib', u'C21H27N7O3', u'BMS-387032', u'GSK-1904529A', u'Linsitinib', u'Ruxolitinib', u'Momelotinib', u'Fedratinib', u'Trametinib', u'EX-8678', u'Buparlisib', u'SCHEMBL570779', u'Y-39983', u'Nintedanib', u'Foretinib', u'AZD-5438', u'Pelitinib', u'Nvp-auy922', u'AZD-8330', u'TGX 221', u'GSK1059615', u'C19H19FN4O3', u'CHIR-99021', u'Linifanib', u'PIK-93', u'Mitoxantrone', u'Dactolisib', u'Alpelisib', u'GDC-0980', u'SCHEMBL3958507', u'SCHEMBL17857056', u'MLS002232309', u'SCHEMBL6874948', u'SCHEMBL17052537', u'WZ3105', u'SCHEMBL3954849', u'QL47', u'Withaferin a', u'CHEMBL585951', u'SB590885', u'CP-724714', u'Neratinib', u'GSK-3 INHIBITOR IX', u'Geldanamycin', u'C28H30CIN5O4S', u'PHA-665752', u'Afatinib', u'HG6-64-1', u'SCHEMBL16065773', u'Monorden', u'WH-4-025', u'NVP-AEW541']",Fluorescence imaging
LDS-1226,LDG-1220,LINCS Pilot Phase Joint Project: Sensitivity measures of six breast cancer cell lines to a library of small molecule kinase inhibitors (single drug treatments). Dataset 1 of 15: Cell count and relative growth within biological replicate 1.,-,[u'MCF7'],"[u'Seliciclib', u'AT-7519', u'SCHEMBL1564574', u'AZD-8055', u'Sorafenib', u'CP466722', u'Alvocidib', u'GW843682X', u'Dasatinib', u'Tozasertib', u'Imatinib', u'TAE-684', u'CGP 60474', u'PD-173074', u'Crizotinib', u'BMS-345541', u'Saracatinib', u'Akt inhibitor viii', u'Tamatinib', u'BI-2536', u'A-443654', u'Pictilisib', u'CI-1040', u'PLX-4720', u'Lapatinib', u'Rapamycin', u'ZSTK 474', u'BX 912', u'Selumetinib', u'MK-2206', u'AZD-6482', u'NU-7441', u'OSI-027', u'WYE 125132', u'AZD-1152-HQPA', u'Vemurafenib', u'Enzastaurin', u'Palbociclib', u'PF-562271', u'PHA-793887', u'TORIN1', u'TORIN-2', u'LRRK2-IN-1', u'Erlotinib', u'Gefitinib', u'Nilotinib', u'PD-0325901', u'YM 201636', u'TWS 119', u'PF477736', u'LDN 193189', u'PF431396', u'Celastrol', u'Canertinib', u'PI-103', u'Dovitinib', u'C21H27N7O3', u'BMS-387032', u'GSK-1904529A', u'Linsitinib', u'Ruxolitinib', u'Momelotinib', u'Fedratinib', u'Trametinib', u'EX-8678', u'Buparlisib', u'SCHEMBL570779', u'Y-39983', u'Nintedanib', u'Foretinib', u'AZD-5438', u'Pelitinib', u'Nvp-auy922', u'AZD-8330', u'TGX 221', u'GSK1059615', u'C19H19FN4O3', u'CHIR-99021', u'Linifanib', u'PIK-93', u'Mitoxantrone', u'Dactolisib', u'Alpelisib', u'GDC-0980', u'SCHEMBL3958507', u'SCHEMBL17857056', u'MLS002232309', u'SCHEMBL6874948', u'SCHEMBL17052537', u'WZ3105', u'SCHEMBL3954849', u'QL47', u'Withaferin a', u'CHEMBL585951', u'SB590885', u'CP-724714', u'Neratinib', u'GSK-3 INHIBITOR IX', u'Geldanamycin', u'C28H30CIN5O4S', u'PHA-665752', u'Afatinib', u'HG6-64-1', u'SCHEMBL16065773', u'Monorden', u'WH-4-025', u'NVP-AEW541']",Fluorescence imaging
LDS-1230,LDG-1224,LINCS Pilot Phase Joint Project: Sensitivity measures of six breast cancer cell lines to a library of small molecule kinase inhibitors (single drug treatments). Dataset 5 of 15: Mean cell count and mean growth rate across biological replicate 2.,-,[u'MCF7'],"[u'Seliciclib', u'AT-7519', u'SCHEMBL1564574', u'AZD-8055', u'Sorafenib', u'CP466722', u'Alvocidib', u'GW843682X', u'Dasatinib', u'Tozasertib', u'Imatinib', u'TAE-684', u'CGP 60474', u'PD-173074', u'Crizotinib', u'BMS-345541', u'Saracatinib', u'Akt inhibitor viii', u'Tamatinib', u'BI-2536', u'A-443654', u'Pictilisib', u'CI-1040', u'PLX-4720', u'Lapatinib', u'Rapamycin', u'ZSTK 474', u'BX 912', u'Selumetinib', u'MK-2206', u'AZD-6482', u'NU-7441', u'OSI-027', u'WYE 125132', u'AZD-1152-HQPA', u'Vemurafenib', u'Enzastaurin', u'Palbociclib', u'PF-562271', u'PHA-793887', u'TORIN1', u'TORIN-2', u'LRRK2-IN-1', u'Erlotinib', u'Gefitinib', u'Nilotinib', u'PD-0325901', u'YM 201636', u'TWS 119', u'PF477736', u'LDN 193189', u'PF431396', u'Celastrol', u'Canertinib', u'PI-103', u'Dovitinib', u'C21H27N7O3', u'BMS-387032', u'GSK-1904529A', u'Linsitinib', u'Ruxolitinib', u'Momelotinib', u'Fedratinib', u'Trametinib', u'EX-8678', u'Buparlisib', u'SCHEMBL570779', u'Y-39983', u'Nintedanib', u'Foretinib', u'AZD-5438', u'Pelitinib', u'Nvp-auy922', u'AZD-8330', u'TGX 221', u'GSK1059615', u'C19H19FN4O3', u'CHIR-99021', u'Linifanib', u'PIK-93', u'Mitoxantrone', u'Dactolisib', u'Alpelisib', u'GDC-0980', u'SCHEMBL3958507', u'SCHEMBL17857056', u'MLS002232309', u'SCHEMBL6874948', u'SCHEMBL17052537', u'WZ3105', u'SCHEMBL3954849', u'QL47', u'Withaferin a', u'CHEMBL585951', u'SB590885', u'CP-724714', u'Neratinib', u'GSK-3 INHIBITOR IX', u'Geldanamycin', u'C28H30CIN5O4S', u'PHA-665752', u'Afatinib', u'HG6-64-1', u'SCHEMBL16065773', u'Monorden', u'WH-4-025', u'NVP-AEW541']",Fluorescence imaging
LDS-1227,LDG-1221,LINCS Pilot Phase Joint Project: Sensitivity measures of six breast cancer cell lines to a library of small molecule kinase inhibitors (single drug treatments). Dataset 2 of 15: Cell count and relative growth within biological replicate 2.,-,[u'MCF7'],"[u'Seliciclib', u'AT-7519', u'SCHEMBL1564574', u'AZD-8055', u'Sorafenib', u'CP466722', u'Alvocidib', u'GW843682X', u'Dasatinib', u'Tozasertib', u'Imatinib', u'TAE-684', u'CGP 60474', u'PD-173074', u'Crizotinib', u'BMS-345541', u'Saracatinib', u'Akt inhibitor viii', u'Tamatinib', u'BI-2536', u'A-443654', u'Pictilisib', u'CI-1040', u'PLX-4720', u'Lapatinib', u'Rapamycin', u'ZSTK 474', u'BX 912', u'Selumetinib', u'MK-2206', u'AZD-6482', u'NU-7441', u'OSI-027', u'WYE 125132', u'AZD-1152-HQPA', u'Vemurafenib', u'Enzastaurin', u'Palbociclib', u'PF-562271', u'PHA-793887', u'TORIN1', u'TORIN-2', u'LRRK2-IN-1', u'Erlotinib', u'Gefitinib', u'Nilotinib', u'PD-0325901', u'YM 201636', u'TWS 119', u'PF477736', u'LDN 193189', u'PF431396', u'Celastrol', u'Canertinib', u'PI-103', u'Dovitinib', u'C21H27N7O3', u'BMS-387032', u'GSK-1904529A', u'Linsitinib', u'Ruxolitinib', u'Momelotinib', u'Fedratinib', u'Trametinib', u'EX-8678', u'Buparlisib', u'SCHEMBL570779', u'Y-39983', u'Nintedanib', u'Foretinib', u'AZD-5438', u'Pelitinib', u'Nvp-auy922', u'AZD-8330', u'TGX 221', u'GSK1059615', u'C19H19FN4O3', u'CHIR-99021', u'Linifanib', u'PIK-93', u'Mitoxantrone', u'Dactolisib', u'Alpelisib', u'GDC-0980', u'SCHEMBL3958507', u'SCHEMBL17857056', u'MLS002232309', u'SCHEMBL6874948', u'SCHEMBL17052537', u'WZ3105', u'SCHEMBL3954849', u'QL47', u'Withaferin a', u'CHEMBL585951', u'SB590885', u'CP-724714', u'Neratinib', u'GSK-3 INHIBITOR IX', u'Geldanamycin', u'C28H30CIN5O4S', u'PHA-665752', u'Afatinib', u'HG6-64-1', u'SCHEMBL16065773', u'Monorden', u'WH-4-025', u'NVP-AEW541']",Fluorescence imaging
LDS-1231,LDG-1225,LINCS Pilot Phase Joint Project: Sensitivity measures of six breast cancer cell lines to a library of small molecule kinase inhibitors (single drug treatments). Dataset 6 of 15: Mean cell count and mean growth rate across biological replicate 3.,-,[u'MCF7'],"[u'Seliciclib', u'AT-7519', u'SCHEMBL1564574', u'AZD-8055', u'Sorafenib', u'CP466722', u'Alvocidib', u'GW843682X', u'Dasatinib', u'Tozasertib', u'Imatinib', u'TAE-684', u'CGP 60474', u'PD-173074', u'Crizotinib', u'BMS-345541', u'Saracatinib', u'Akt inhibitor viii', u'Tamatinib', u'BI-2536', u'A-443654', u'Pictilisib', u'CI-1040', u'PLX-4720', u'Lapatinib', u'Rapamycin', u'ZSTK 474', u'BX 912', u'Selumetinib', u'MK-2206', u'AZD-6482', u'NU-7441', u'OSI-027', u'WYE 125132', u'AZD-1152-HQPA', u'Vemurafenib', u'Enzastaurin', u'Palbociclib', u'PF-562271', u'PHA-793887', u'TORIN1', u'TORIN-2', u'LRRK2-IN-1', u'Erlotinib', u'Gefitinib', u'Nilotinib', u'PD-0325901', u'YM 201636', u'TWS 119', u'PF477736', u'LDN 193189', u'PF431396', u'Celastrol', u'Canertinib', u'PI-103', u'Dovitinib', u'C21H27N7O3', u'BMS-387032', u'GSK-1904529A', u'Linsitinib', u'Ruxolitinib', u'Momelotinib', u'Fedratinib', u'Trametinib', u'EX-8678', u'Buparlisib', u'SCHEMBL570779', u'Y-39983', u'Nintedanib', u'Foretinib', u'AZD-5438', u'Pelitinib', u'Nvp-auy922', u'AZD-8330', u'TGX 221', u'GSK1059615', u'C19H19FN4O3', u'CHIR-99021', u'Linifanib', u'PIK-93', u'Mitoxantrone', u'Dactolisib', u'Alpelisib', u'GDC-0980', u'SCHEMBL3958507', u'SCHEMBL17857056', u'MLS002232309', u'SCHEMBL6874948', u'SCHEMBL17052537', u'WZ3105', u'SCHEMBL3954849', u'QL47', u'Withaferin a', u'CHEMBL585951', u'SB590885', u'CP-724714', u'Neratinib', u'GSK-3 INHIBITOR IX', u'Geldanamycin', u'C28H30CIN5O4S', u'PHA-665752', u'Afatinib', u'HG6-64-1', u'SCHEMBL16065773', u'Monorden', u'WH-4-025', u'NVP-AEW541']",Fluorescence imaging
